Constituency,State,MP,Party,Year,,,,,,,,,,,
ONGOLE,Andhra, MANGUNTA SUBBARAMA REDDY,INC,1995,,,,,,,,,,,
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1995,,,,,,,,,,,
PEDDAPALLI (SC),Andhra, G. VENKAT SWAMY,INC,1995,,,,,,,,,,,
RAJAHMUNDRY,Andhra, K.V.R. CHOWDARY,TDP,1995,,,,,,,,,,,
RAJAMPET,Andhra, ANNAIAHGARI SAIPRATHAP,INC,1995,,,,,,,,,,,
SECUNDERABAD,Andhra, BANDARU DATTATRAYA,BJP,1995,,,,,,,,,,,
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1995,,,,,,,,,,,
SRIKAKULAM ,Andhra,VISWANDHAM KANITHI ,INC,1995,,,,,,,,,,,
TENALI,Andhra, UMMAREDDY VENKATESWARLU,TDP,1995,,,,,,,,,,,
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1995,,,,,,,,,,,
VIJAYAWADA,Andhra, VADDE SOBHANDRESWARA RAO,TDP,1995,,,,,,,,,,,
VISAKHAPATNAM,Andhra, M.V.V.S. MURTHI,TDP,1995,,,,,,,,,,,
WARANGAL,Andhra, SURENDRA REDDY RAMA SAHAYAM,INC,1995,,,,,,,,,,,
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1995,,,,,,,,,,,
ARRAH,Bihar, RAM LAKHAN SINGH YADAV,JD,1995,,,,,,,,,,,
AURANGABAD,Bihar, RAM NARESH SINGH,JD,1995,,,,,,,,,,,
BAGAHA (SC) ,Bihar,MAHENDRA BAITHA ,JD,1995,,,,,,,,,,,
BALIA,Bihar, SURYA NARAYAN SINGH,CPI,1995,,,,,,,,,,,
BANKA,Bihar, PRATAP SINGH,JD,1995,,,,,,,,,,,
BARH,Bihar, NITISH KUMAR,JD,1995,,,,,,,,,,,
BEGUSARAI,Bihar, KRISHNA SAHI (W),INC,1995,,,,,,,,,,,
BETTIAH,Bihar, FAIYAZULAZAM,JD,1995,,,,,,,,,,,
BHAGALPUR,Bihar, CHUNCHUN PRA. YADAV,JD,1995,,,,,,,,,,,
BIKRAMGANJ,Bihar, RAM PRASAD SINGH,JD,1995,,,,,,,,,,,
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1995,,,,,,,,,,,
CHAPRA,Bihar, LAL BABU RAI,JD,1995,,,,,,,,,,,
CHATRA,Bihar, UPENDRA NATH VERMA,JD,1995,,,,,,,,,,,
DARBHANGA,Bihar, MD. ALI ASRAF FATMI,JD,1995,,,,,,,,,,,
DHANBAD,Bihar, RITA VERMA (W),BJP,1995,,,,,,,,,,,
DUMKA (ST),Bihar, SHIBU SOREN,JMM,1995,,,,,,,,,,,
GAYA (SC),Bihar, RAJESH KUMAR,JD,1995,,,,,,,,,,,
GIRIDIH,Bihar,R. K. MAHTE,JMM,1995,,,,,,,,,,,
GODDA,Bihar, SURAJ MANDAL,JMM,1995,,,,,,,,,,,
GOPALGANJ,Bihar, ABDUL GHAFOOR,JD,1995,,,,,,,,,,,
HAJIPUR (SC),Bihar, RAM SUNDER DAS,JD,1995,,,,,,,,,,,
HAZARIBAGH,Bihar, BHUNESHWAR PRASAD MEHTA,CPI,1995,,,,,,,,,,,
JAHANABAD,Bihar, RAMRAMASHARAY PRASAD SINGH,CPI,1995,,,,,,,,,,,
JAMSHEDPUR,Bihar, SILENDRA MAHTO,JMM,1995,,,,,,,,,,,
JHANJHARPUR,Bihar, DEVENDRA PRASAD YADAV,JD,1995,,,,,,,,,,,
KATIHAR  ,Bihar,MD. YUNUS SALIM,JD,1995,,,,,,,,,,,
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1995,,,,,,,,,,,
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1995,,,,,,,,,,,
KISHANGANJ,Bihar, SYED SHAHABUDDIN,JD,1995,,,,,,,,,,,
KODARMA,Bihar, MUMTAZ ANSARI,JD,1995,,,,,,,,,,,
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1995,,,,,,,,,,,
MADHEPURA,Bihar, SHARAD YADAV,JD,1995,,,,,,,,,,,
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1995,,,,,,,,,,,
MAHARAJGANJ,Bihar, GIRIJA DEVI (W),JD,1995,,,,,,,,,,,
MONGHYR,Bihar, BRAHMANAND MANDAL,CPI,1995,,,,,,,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1995,,,,,,,,,,,
MUZAFFARPUR,Bihar, GEORGE FERNANDESE,JD,1995,,,,,,,,,,,
NALANDA,Bihar, VIJOY KUMAR YADAV,CPI,1995,,,,,,,,,,,
NAWADA (SC),Bihar, PREM CHAND RAM,CPM,1995,,,,,,,,,,,
PALAMAU (SC) ,Bihar,RAM DEO RAM,BJP,1995,,,,,,,,,,,
PATNA,Bihar,RAM KRIPAL YADAV,JD,1995,,,,,,,,,,,
PURNEA,Bihar,RAJESH RANJAN (PAPPU YADAV),JD,1995,,,,,,,,,,,
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1995,,,,,,,,,,,
RANCHI,Bihar, RAM TAHAL CHOUDHARY,BJP,1995,,,,,,,,,,,
ROSERA (SC),Bihar, RAM VILAS PASWAN,JD,1995,,,,,,,,,,,
SAHARSA,Bihar, SURYA NARAIN YADAV,JD,1995,,,,,,,,,,,
SAMASTIPUR,Bihar, MANJAY LAL,JD,1995,,,,,,,,,,,
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1995,,,,,,,,,,,
SHEOHAR,Bihar, HARI KISHORE SINGH,JD,1995,,,,,,,,,,,
SINGHBHUM (ST),Bihar, KRISHNA MARANDI,JMM,1995,,,,,,,,,,,
SITAMARHI,Bihar, NAWAL KISHORE RAY,JD,1995,,,,,,,,,,,
SIWAN,Bihar, BRISHIN PATEL,JD,1995,,,,,,,,,,,
VAISHALI,Bihar, SHEO SHARAN SINGH,JD,1995,,,,,,,,,,,
CHANDNI CHOWK,Delhi, TARA CHAND KHANDELWAL,BJP,1995,,,,,,,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC,1995,,,,,,,,,,,
EAST DELHI,Delhi, B.L. SHARMA 'PREM',BJP,1995,,,,,,,,,,,
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1995,,,,,,,,,,,
NEW DELHI ,Delhi,R. KHANNA,BJP,1995,,,,,,,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC,1995,,,,,,,,,,,
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1995,,,,,,,,,,,
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1995,,,,,,,,,,,
AMRELI,Gujarat, DILIPBHAI SANGHANI,BJP,1995,,,,,,,,,,,
ANAND,Gujarat, CHAVDA ISHVARBHAI KHODABHAI,INC,1995,,,,,,,,,,,
BANASKANTHA,Gujarat, CHAVDA HARISINHJI PATAPSINHJI,BJP,1995,,,,,,,,,,,
BARODA,Gujarat, DIPIKA CHIKHLIYA (W),BJP,1995,,,,,,,,,,,
BHAVNAGAR,Gujarat, MAHAVIRSINH HARISINHJI GOHIL,BJP,1995,,,,,,,,,,,
BROACH,Gujarat, CHANDUBHAI DESHMUKH,BJP,1995,,,,,,,,,,,
BULSAR (ST) ,Gujarat,UTTAMBHAI HARJIBHAI PATEL,INC,1995,,,,,,,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,NARANBHAI JAMLABHAI RATHAVA ,JD(G),1995,,,,,,,,,,,
DHANDHUKA (SC),Gujarat, RATILAL VERMA,BJP,1995,,,,,,,,,,,
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1995,,,,,,,,,,,
GANDHINAGAR,Gujarat, LAL KRISHNA ADVANI,BJP,1995,,,,,,,,,,,
GODHRA,Gujarat, VEGHELA SHANKERJI LAXMANJI,BJP,1995,,,,,,,,,,,
JAMNAGAR,Gujarat, KORDIYA CHANDRESH KUMAR VALJIBHAI,BJP,1995,,,,,,,,,,,
JUNAGADH,Gujarat, CHIKHALIYA BHAVENABEN DEVRAJBHAI (W),BJP,1995,,,,,,,,,,,
KAIRA,Gujarat, K.D. JESWANI,BJP,1995,,,,,,,,,,,
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1995,,,,,,,,,,,
KUTCH ,Gujarat,PATEL HARILAL NANJI ,INC,1995,,,,,,,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1995,,,,,,,,,,,
MEHSANA ,Gujarat,A.K. PATEL ,BJP,1995,,,,,,,,,,,
PATAN (SC),Gujarat, MAHESH KANODIYA,BJP,1995,,,,,,,,,,,
PORBANDAR,Gujarat, PATEL HIRALAL MADHAVJIBHAI,BJP,1995,,,,,,,,,,,
RAJKOT,Gujarat, SHIVLALBHAI VERARIA,BJP,1995,,,,,,,,,,,
SABARKANTHA,Gujarat, ARVIND TRIVEDI (LANKESH),BJP,1995,,,,,,,,,,,
SURAT,Gujarat, KASHIRAM RANA,BJP,1995,,,,,,,,,,,
SURENDRANAGAR,Gujarat, KOLIPATEL SOMABHAI GADABHAI,BJP,1995,,,,,,,,,,,
AMBALA (SC) ,Haryana,RAM PRAKASH ,INC,1995,,,,,,,,,,,
BHIWANI,Haryana, JANGBIR SINGH,HVP,1995,,,,,,,,,,,
FARIDABAD,Haryana, AVTAR SINGH BHADANA,INC,1995,,,,,,,,,,,
HISSAR,Haryana, NARAIN SINGH,INC,1995,,,,,,,,,,,
KARNAL,Haryana, CHIRANJI LAL SHARMA,INC,1995,,,,,,,,,,,
KURUKSHETRA,Haryana, TARA SINGH,INC,1995,,,,,,,,,,,
MAHENDRAGARH,Haryana, RAM SINGH,INC,1995,,,,,,,,,,,
ROHTAK,Haryana, BHUPENDER SINGH,INC,1995,,,,,,,,,,,
SIRSA (SC) ,Haryana,SHAILJA (W) ,INC,1995,,,,,,,,,,,
SONEPAT,Haryana, DHARAMPAL SINGH,INC,1995,,,,,,,,,,,
HAMIRPUR ,Himachal Pradesh,PREM KUMAR DHUMAL ,BJP,1995,,,,,,,,,,,
KANGRA,Himachal Pradesh, D.D. KHANORIA,BJP,1995,,,,,,,,,,,
MANDI,Himachal Pradesh, SUKH RAM,INC,1995,,,,,,,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTANPURI ,INC,1995,,,,,,,,,,,
BAGALKOT,Karnataka, SIDDAPPA BHIMAPPA NYAMAGOUDAR,INC,1995,,,,,,,,,,,
BANGALORE NORTH ,Karnataka,C.K. JAFFER SHARIEF ,INC,1995,,,,,,,,,,,
BANGALORE SOUTH,Karnataka, K. VENKATGIRI GOWDA,BJP,1995,,,,,,,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1995,,,,,,,,,,,
BELLARY,Karnataka, BASAVARAJESHWARI (W),INC,1995,,,,,,,,,,,
BIDAR (SC) ,Karnataka,RAMCHANDRA VEERAPPA ,BJP,1995,,,,,,,,,,,
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA,INC,1995,,,,,,,,,,,
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1995,,,,,,,,,,,
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1995,,,,,,,,,,,
CHIKKODI (SC),Karnataka, B. SHANKARANAND,INC,1995,,,,,,,,,,,
CHIKMAGALUR,Karnataka, D.K. THARADEVI (W),INC,1995,,,,,,,,,,,
CHITRADURGA,Karnataka, C.P. MUDALAGIRIYAPPA,INC,1995,,,,,,,,,,,
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1995,,,,,,,,,,,
DHARWAD NORTH,Karnataka, D.K. NAIKAR,INC,1995,,,,,,,,,,,
DHARWAD SOUTH,Karnataka, B.M. MUJAHID,INC,1995,,,,,,,,,,,
GULBARGA,Karnataka, B.G. JAWALI,INC,1995,,,,,,,,,,,
HASSAN,Karnataka, H.D. DEVEGOWDA,JP,1995,,,,,,,,,,,
KANAKAPURA,Karnataka, M.V. CHANDRASHEKARA MURTHY,INC,1995,,,,,,,,,,,
KANARA,Karnataka, NAIK G. DEVARAYA,INC,1995,,,,,,,,,,,
KOLAR (SC),Karnataka, K.H. MUNIYAPPA,INC,1995,,,,,,,,,,,
KOPPAL,Karnataka, ANWARI BASAVARAJ PATIL,INC,1995,,,,,,,,,,,
MANDYA,Karnataka, G. MADEGOWDA,INC,1995,,,,,,,,,,,
MANGALORE,Karnataka, V. DHANANJAYA KUMAR,BJP,1995,,,,,,,,,,,
MYSORE,Karnataka, CHANDRAPRABHA URS (W),INC,1995,,,,,,,,,,,
RAICHUR,Karnataka, VENKATESH NAIK,INC,1995,,,,,,,,,,,
SHIMOGA,Karnataka, K.G. SHIVAPPA,INC,1995,,,,,,,,,,,
TUMKUR,Karnataka, S. MALLIKARJUNAIAH,BJP,1995,,,,,,,,,,,
UDUPI,Karnataka, OSCAR FERNANDES,INC,1995,,,,,,,,,,,
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1995,,,,,,,,,,,
ALLEPPEY,Kerala, T.J. ANJALOSE,CPM,1995,,,,,,,,,,,
BADAGARA,Kerala, UNNIKRISHNAN K.P. (SCS),ICS(SCS),1995,,,,,,,,,,,
CALICUT,Kerala, K. MURALEEDHARAN,INC,1995,,,,,,,,,,,
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1995,,,,,,,,,,,
CHIRAYINKIL,Kerala, SUSEELA GOPALAN (W),CPM,1995,,,,,,,,,,,
ERNAKULAM,Kerala, K.V. THOMAS,INC,1995,,,,,,,,,,,
IDUKKI,Kerala, PALAI K.M. MATHEW,INC,1995,,,,,,,,,,,
KASARAGOD ,Kerala,M. RAMANNA RAI M,CP,1995,,,,,,,,,,,
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1995,,,,,,,,,,,
MANJERI,Kerala, E. AHAMED,MUL,1995,,,,,,,,,,,
MAVELIKARA,Kerala, P.J. KURIAN,INC,1995,,,,,,,,,,,
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN (W),INC,1995,,,,,,,,,,,
MUVATTUPUZHA,Kerala, P.C. THOMAS,KCM,1995,,,,,,,,,,,
OTTAPALAM (SC),Kerala,S. SIVARARAMAN,CPM,1995,,,,,,,,,,,
PALGHAT,Kerala, V.S. VIJAYARAGHAVAN,INC,1995,,,,,,,,,,,
PONNANI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1995,,,,,,,,,,,
QUILON,Kerala, S. KRISHNA KUMAR,INC,1995,,,,,,,,,,,
TRICHUR,Kerala, P.C. CHACKO,INC,1995,,,,,,,,,,,
TRIVANDRUM ,Kerala,A. CHARLES,INC,1995,,,,,,,,,,,
BALAGHAT,Madhya Pradesh, VISHVESHWAR BHAGAT,INC,1995,,,,,,,,,,,
BASTAR (ST),Madhya Pradesh, MANKURAM SODHI,INC,1995,,,,,,,,,,,
BETUL,Madhya Pradesh, ASLAM-SHER-KHAN,INC,1995,,,,,,,,,,,
BHIND,Madhya Pradesh, YOGANAND SARASWATI,BJP,1995,,,,,,,,,,,
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1995,,,,,,,,,,,
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1995,,,,,,,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1995,,,,,,,,,,,
DAMOH,Madhya Pradesh, RAMKRISHNA KUSMARIA,BJP,1995,,,,,,,,,,,
DHAR (ST),Madhya Pradesh, SURAJBHANU SOLANKI,INC,1995,,,,,,,,,,,
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1995,,,,,,,,,,,
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA (W),BJP,1995,,,,,,,,,,,
GWALIOR,Madhya Pradesh, MADHAV RAO SCINDIA,INC,1995,,,,,,,,,,,
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1995,,,,,,,,,,,
INDORE,Madhya Pradesh, SUMITRA MAHAJAN (W),BJP,1995,,,,,,,,,,,
JABALPUR,Madhya Pradesh, SHRAWAN KUMAR PATEL,INC,1995,,,,,,,,,,,
JANJGIR,Madhya Pradesh, BHAWANI LAL VERMA,INC,1995,,,,,,,,,,,
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1995,,,,,,,,,,,
KANKER (ST),Madhya Pradesh, ARWIND NETAM,INC,1995,,,,,,,,,,,
KHAJURAHO ,Madhya Pradesh,UMA BHARTI (W) ,BJP,1995,,,,,,,,,,,
KHANDWA,Madhya Pradesh, MAHENDER KUMAR SINGH,INC,1995,,,,,,,,,,,
KHARGONE,Madhya Pradesh, RAMESHWAR PATIDAR,BJP,1995,,,,,,,,,,,
MAHASAMUND,Madhya Pradesh, PAWAN DIWAN,INC,1995,,,,,,,,,,,
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1995,,,,,,,,,,,
MANDSAUR ,Madhya Pradesh,LAXMINARAIN PANDEY ,BJP,1995,,,,,,,,,,,
MORENA (SC) ,Madhya Pradesh,BARELAL JATAV ,INC,1995,,,,,,,,,,,
RAIGARH (ST),Madhya Pradesh, PUSHPADEVI SINGH (W),INC,1995,,,,,,,,,,,
RAIPUR,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1995,,,,,,,,,,,
RAJGARH,Madhya Pradesh,LAXMAN SINGH,BJP,1995,,,,,,,,,,,
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1995,,,,,,,,,,,
REWA,Madhya Pradesh, BHEEM SINGH PATEL,BSP,1995,,,,,,,,,,,
SAGAR (SC),Madhya Pradesh, ANAND AHIRWAR,INC,1995,,,,,,,,,,,
SARANGARH (SC),Madhya Pradesh, PARAS RAM BHARADWAJ,INC,1995,,,,,,,,,,,
SATNA,Madhya Pradesh, ARJUN SINGH,INC,1995,,,,,,,,,,,
SEONI,Madhya Pradesh, VIMLA VERMA (W),INC,1995,,,,,,,,,,,
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1995,,,,,,,,,,,
SHAJAPUR (SC),Madhya Pradesh, PHOOLCHAND VERMA,BJP,1995,,,,,,,,,,,
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1995,,,,,,,,,,,
SURGUJA (ST),Madhya Pradesh, KHELSAI SINGH,INC,1995,,,,,,,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1995,,,,,,,,,,,
VIDISHA,Madhya Pradesh,S.SINGH,BJP,1995,,,,,,,,,,,
AHMEDNAGAR,Maharashtra, GADAKH YESHAWANTRAO,INC,1995,,,,,,,,,,,
AKOLA,Maharashtra, FUNDKAR PANDURANG PUNDLIK,BJP,1995,,,,,,,,,,,
AMRAVATI,Maharashtra, PRATIBHA DEVISINHA PATIL (W),INC,1995,,,,,,,,,,,
AURANGABAD,Maharashtra, MORESHWAR SAVE,SHS,1995,,,,,,,,,,,
BARAMATI,Maharashtra,P. S. C. GOVINDRAO,INC,1995,,,,,,,,,,,
BEED,Maharashtra,KSHIRSAGAR KESHARBAI SONAJIRAO ALIAS KAKU (W),INC,1995,,,,,,,,,,,
BHANDARA,Maharashtra, PRAFUL MANOHAR BHAI PATEL,INC,1995,,,,,,,,,,,
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1995,,,,,,,,,,,
BOMBAY NORTH CENTRAL ,Maharashtra,DIGHE SHARAD SHANKAR ,INC,1995,,,,,,,,,,,
BOMBAY NORTH EAST ,Maharashtra,GURADAS KAMAT ,INC,1995,,,,,,,,,,,
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT, INC,1995,,,,,,,,,,,
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1995,,,,,,,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,MOHAN RAWALE ,SHS,1995,,,,,,,,,,,
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1995,,,,,,,,,,,
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM,INC,1995,,,,,,,,,,,
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1995,,,,,,,,,,,
DAHANU (ST),Maharashtra, DAMU BARKU SHINGDA,INC,1995,,,,,,,,,,,
DHULE,Maharashtra, (ST) CHAURE BAPU HARI,INC,1995,,,,,,,,,,,
ERANDOL,Maharashtra, PATIL VIJAY NAVAL,INC,1995,,,,,,,,,,,
HINGOLI,Maharashtra, GUNDEWAR VILASRAO NAGNATHRAO,SHS,1995,,,,,,,,,,,
ICHALKARANJI,Maharashtra, MANE BALASO ALIAS RAJARAM SHANKARRAO,INC,1995,,,,,,,,,,,
JALGAON,Maharashtra, GUNAVANT RAMBHAU SARODA,BJP,1995,,,,,,,,,,,
JALNA,Maharashtra, ANKUSHRAO TOPE,INC,1995,,,,,,,,,,,
KARAD,Maharashtra, CHAVAN PRITHVIRAJ DAJISHAHEB,INC,1995,,,,,,,,,,,
KHED,Maharashtra, NAVALE VIDURA VITHOBA,INC,1995,,,,,,,,,,,
KOLABA,Maharashtra, A.R. ANTULAY,INC,1995,,,,,,,,,,,
KOLHAPUR ,Maharashtra,GAIKWAD UDAYSINGRAO NANASAHEB ,INC,1995,,,,,,,,,,,
KOPARGAON,Maharashtra, KALE SHANKARRAO DEORAM,INC,1995,,,,,,,,,,,
LATUR ,Maharashtra,PATIL SHIVRAJ VISHWANATH ,INC,1995,,,,,,,,,,,
MALEGAON (ST),Maharashtra, KAHANDOLE ZAMRU MANGLU,INC,1995,,,,,,,,,,,
NAGPUR,Maharashtra, MEGHE DATTAJI RAGHOBAJI,INC,1995,,,,,,,,,,,
NANDED,Maharashtra, SURYAKANTS PATIL (W),INC,1995,,,,,,,,,,,
NANDURBAR (ST),Maharashtra, GAVIT MANIKRAO HODALYA,INC,1995,,,,,,,,,,,
NASHIK,Maharashtra, PAWAR VASANT NIWRUTTI,INC,1995,,,,,,,,,,,
OSMANABAD (SC),Maharashtra, KAMBLE ARVIND TULSHIRAM,INC,1995,,,,,,,,,,,
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1995,,,,,,,,,,,
PARBHANI,Maharashtra, DESHMUKH ASHOKRAO ANANDRAO,SHS,1995,,,,,,,,,,,
PUNE,Maharashtra, ANNA JOSHI,BJP,1995,,,,,,,,,,,
RAJAPUR ,Maharashtra,SUDHIR SAWANT ,INC,1995,,,,,,,,,,,
RAMTEK,Maharashtra, BHONSLE TEJSINGHARAO LAXMANRAO,INC,1995,,,,,,,,,,,
RATNAGIRI,Maharashtra, GOVINDRAM NIKAM,INC,1995,,,,,,,,,,,
SANGLI,Maharashtra, PATIL PRAKASHBAPU VASANTRAO,INC,1995,,,,,,,,,,,
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1995,,,,,,,,,,,
SHOLAPUR,Maharashtra, SADUL DHARMANNA MONDAYYA,INC,1995,,,,,,,,,,,
THANE,Maharashtra, KAPSE RAMCHANDRA GANESH,BJP,1995,,,,,,,,,,,
WARDHA,Maharashtra, GHANGARE RAMCHANDRA MAROTRAO,CPM,1995,,,,,,,,,,,
WASHIM,Maharashtra, ANANTRAO VITTHALRAO DESHMUKH,INC,1995,,,,,,,,,,,
YAVATMAL,Maharashtra, UTTAMRAO DEORAO PATIL,INC,1995,,,,,,,,,,,
ASKA,Orissa, RAMACHANDRA RATH,INC,1995,,,,,,,,,,,
BALASORE,Orissa, KARTIKESWAR PATRA,INC,1995,,,,,,,,,,,
BERHAMPUR,Orissa, GOPINATH GAJAPATHI NARYANDEO,INC,1995,,,,,,,,,,,
BHADRAK (SC),Orissa, ARJUN CHARAN SETHI,JD,1995,,,,,,,,,,,
BHUBANESWAR,Orissa, SHIVAJI PATNAIK,CPM,1995,,,,,,,,,,,
BOLANGIR,Orissa, SARAT CHANDRA PATTANAYAK,INC,1995,,,,,,,,,,,
CUTTACK,Orissa, SRIKANTA JENA,JD,1995,,,,,,,,,,,
DEOGARH,Orissa, SRIBALLAV PANIGRAHI,INC,1995,,,,,,,,,,,
DHENKANAL ,Orissa,RAJA KAMAKHYA PRASAD SINGHDEO MAHINDR BAHADUR ,INC,1995,,,,,,,,,,,
JAGATSINGHPUR,Orissa, LOKNATH CHOUDHURY,CPI,1995,,,,,,,,,,,
JAJPUR (SC),Orissa, ANADI CHARAN DAS,JD,1995,,,,,,,,,,,
KALAHANDI,Orissa, SUBASH CHANDRA NAYAK,INC,1995,,,,,,,,,,,
KENDRAPARA,Orissa, RABI RAY,JD,1995,,,,,,,,,,,
KEONJHAR (ST) ,Orissa,GOVINDA CHANDRA MUNDA ,JD,1995,,,,,,,,,,,
KORAPUT (ST),Orissa, GIRIDHAR GOMANGO,INC,1995,,,,,,,,,,,
MAYURBHANJ (ST) ,Orissa,KUMARI SUSHILA TIRIYA,INC,1995,,,,,,,,,,,
NOWRANGPUR (ST),Orissa, KHAGAPATI PRADHANI,INC,1995,,,,,,,,,,,
PHULBANI (SC),Orissa, MRUTYUNJAYA NAYAK,INC,1995,,,,,,,,,,,
PURI,Orissa, BRAJA KISHORE TRIPATHY,JD,1995,,,,,,,,,,,
SAMBALPUR,Orissa, KRUPASINDHU BHOI,INC,1995,,,,,,,,,,,
SUNDARGARH (ST) ,Orissa,FRIDA TOPNO (W) ,INC,1995,,,,,,,,,,,
AMRITSAR,Punjab, RAGHUNANDAN LAL BHATIA,INC,1995,,,,,,,,,,,
BHATINDA (SC),Punjab, KEWAL SINGH,INC,1995,,,,,,,,,,,
FARIDKOT,Punjab, JAGMEET SINGH,INC,1995,,,,,,,,,,,
FEROZEPUR,Punjab, MOHAN SINGH S/O KANSHA SINGH,BSP,1995,,,,,,,,,,,
GURDASPUR,Punjab,SUKHBUNS KAUR (W),INC,1995,,,,,,,,,,,
HOSHIARPUR,Punjab, KAMAL CHAUDHARY,INC,1995,,,,,,,,,,,
JULLUNDUR,Punjab,UMRAO SINGH,INC,1995,,,,,,,,,,,
LUDHIANA,Punjab, GURCHARAN SINGH GALIB,INC,1995,,,,,,,,,,,
PATIALA,Punjab, SANT RAM SINGLA,INC,1995,,,,,,,,,,,
PHILLAUR (SC),Punjab, SANTOSH CHAUDHARY (W),INC,1995,,,,,,,,,,,
ROPAR,Punjab, (SC) HARCHAND SINGH,INC,1995,,,,,,,,,,,
SANGRUR,Punjab, GURCHARAN SINGH DADAHOOR,INC,1995,,,,,,,,,,,
TARN TARAN,Punjab, SURINDER SINGH KAIRON,INC,1995,,,,,,,,,,,
AJMER,Rajasthan, RASA SINGH RAWAT,BJP,1995,,,,,,,,,,,
ALWAR,Rajasthan, MAHENDRA KUMARI (W),BJP,1995,,,,,,,,,,,
BANSWARA (ST),Rajasthan, PRABHULAL RAWAT,INC,1995,,,,,,,,,,,
BARMER,Rajasthan, RAM NIWAS MIRDHA,INC,1995,,,,,,,,,,,
BAYANA (SC),Rajasthan, GANGARAM KOLI,BJP,1995,,,,,,,,,,,
BHARATPUR,Rajasthan, KRASHENDER KAUR (DEEPA) (W),BJP,1995,,,,,,,,,,,
BHILWARA,Rajasthan, SHIV CHARAN MATHUR,INC,1995,,,,,,,,,,,
BIKANER,Rajasthan, MANPHOOL,INC,1995,,,,,,,,,,,
CHITTORGARH,Rajasthan, JASWANT SINGH,BJP,1995,,,,,,,,,,,
CHURU,Rajasthan, RAM SINGH,BJP,1995,,,,,,,,,,,
DAUSA,Rajasthan, RAJESH PILOT,INC,1995,,,,,,,,,,,
